event_id,visit_type,name,remarks
40,president,Franklin D. Roosevelt,attend session interamerican conference maintenance peace
41,president,Franklin D. Roosevelt,official visit meet president terra
42,president,Franklin D. Roosevelt,stop return unite state
43,president,Franklin D. Roosevelt,meet lieutenant governor british columbia eric w hamber
44,president,Franklin D. Roosevelt,informal visit president arosemena vacation caribbean
45,president,Franklin D. Roosevelt,receive honorary degree queen university dedicate thousand islands bridge
46,president,Franklin D. Roosevelt,fish trip
47,president,Franklin D. Roosevelt,fish trip
48,president,Franklin D. Roosevelt,stop return unite state
49,president,Franklin D. Roosevelt,meet informally president boyd vacation
50,president,Franklin D. Roosevelt,inspect british base sit possible american use
51,president,Franklin D. Roosevelt,inspect british base sit possible american use
52,president,Franklin D. Roosevelt,confer us officials
53,president,Franklin D. Roosevelt,inspect british base sit possible american use
54,president,Franklin D. Roosevelt,inspect british base sit possible american use meet duke windsor eleutheria island december return us december
55,president,Franklin D. Roosevelt,attend conference prime minister churchill announce atlantic charter
56,president,Franklin D. Roosevelt,overnight stop en route casablanca
57,president,Franklin D. Roosevelt,overnight stop en route casablanca
58,president,Franklin D. Roosevelt,overnight stop en route casablanca
59,president,Franklin D. Roosevelt,casablanca conference british prime minister churchill
60,president,Franklin D. Roosevelt,overnight stop en route casablanca
61,president,Franklin D. Roosevelt,informal visit meet president barclay
62,president,Franklin D. Roosevelt,informal visit meet president vargas
63,president,Franklin D. Roosevelt,overnight stop en route casablanca
64,president,Franklin D. Roosevelt,part exchange visit president avila across border
65,president,Franklin D. Roosevelt,attend first quebec conference british prime minister churchill
66,president,Franklin D. Roosevelt,disembark en route cairo
67,president,Franklin D. Roosevelt,overnight stop en route cairo
68,president,Franklin D. Roosevelt,attend first cairo conference british prime minister churchill chinese generalissimo chiang kaishek
69,president,Franklin D. Roosevelt,attend tehran conference soviet premier stalin british prime minister churchill
70,president,Franklin D. Roosevelt,attend second cairo conference british prime minister churchill turkish president inonu
71,president,Franklin D. Roosevelt,confer general eisenhower
72,president,Franklin D. Roosevelt,visit ally military installations
73,president,Franklin D. Roosevelt,visit ally military installations
74,president,Franklin D. Roosevelt,reembarked us
75,president,Franklin D. Roosevelt,attend second quebec conference british prime minister churchill
76,president,Franklin D. Roosevelt,attend malta conference prime minister churchill
77,president,Franklin D. Roosevelt,attend yalta conference soviet premier stalin british prime minister churchill
78,president,Franklin D. Roosevelt,meet king farouk ethiopian emperor haile selassie saudi arabian king ibn saud british prime minister churchill
79,president,Franklin D. Roosevelt,brief us ambassadors unite kingdom france italy yalta conference
80,president,Harry S. Truman,disembark en route potsdam
81,president,Harry S. Truman,potsdam conference british prime minister churchill attlee soviet premier stalin
82,president,Harry S. Truman,informal meet king george vi
83,president,Harry S. Truman,informal visit meet governor bermuda admiral sir ralph leatham kcb inspect us military facilities
84,president,Harry S. Truman,state visit meet president alerman
85,president,Harry S. Truman,official visit meet governor general alexander prime minister mackenzie king
86,president,Harry S. Truman,state visit address rio de janiero conference maintenance continental peace security brazilian congress
87,president,Dwight D. Eisenhower,visit korean combat zone visit make presidentelect
88,president,Dwight D. Eisenhower,dedicate falcon dam
89,president,Dwight D. Eisenhower,state visit address joint session parliament
90,president,Dwight D. Eisenhower,attend bermuda conference prime minister churchill french president laniel
91,president,Dwight D. Eisenhower,summit conference british prime minister eden french premier faure soviet premier bulganin
92,president,Dwight D. Eisenhower,attend meet presidents american republics
93,president,Dwight D. Eisenhower,meet prime minister macmillan
94,president,Dwight D. Eisenhower,attend meet nato head government
95,president,Dwight D. Eisenhower,informal visit address joint session parliament
96,president,Dwight D. Eisenhower,informal meet president lopez mateos
97,president,Dwight D. Eisenhower,join queen elizabeth ii ceremony open st lawrence seaway
98,president,Dwight D. Eisenhower,informal meet chancellor adenauer president heuss
99,president,Dwight D. Eisenhower,informal visit meet prime minister macmillan queen elizabeth ii
100,president,Dwight D. Eisenhower,informal meet president de gaulle italian premier segni address north atlantic council
101,president,Dwight D. Eisenhower,rest return unite state
102,president,Dwight D. Eisenhower,informal visit meet president gronchi
103,president,Dwight D. Eisenhower,audience pope john xxiii
104,president,Dwight D. Eisenhower,informal visit meet president bayar
105,president,Dwight D. Eisenhower,informal visit meet president ayub khan
106,president,Dwight D. Eisenhower,informal visit meet king mohammed zahir
107,president,Dwight D. Eisenhower,meet president prasad prime minister nehru address parliament
108,president,Dwight D. Eisenhower,meet shah mohammed reza pahlavi address parliament
109,president,Dwight D. Eisenhower,official visit meet king paul prime minister karamanlis address parliament travel sea athens tunis
110,president,Dwight D. Eisenhower,meet president bourguiba
111,president,Dwight D. Eisenhower,conference president de gaulle british prime minister macmillan german chancellor adenauer
112,president,Dwight D. Eisenhower,meet generalissimo franco
113,president,Dwight D. Eisenhower,meet king mohammed v
114,president,Dwight D. Eisenhower,meet president kubitschek address brazilian congress
115,president,Dwight D. Eisenhower,meet president frondizi
116,president,Dwight D. Eisenhower,meet president alessandri
117,president,Dwight D. Eisenhower,meet president nardone return us via buenos air surinam
118,president,Dwight D. Eisenhower,conference president de gaulle british prime minister macmillan soviet premier khrushchev
119,president,Dwight D. Eisenhower,official visit meet president thomaz
120,president,Dwight D. Eisenhower,state visit meet president garcia travel sea manila taipei
121,president,Dwight D. Eisenhower,meet president chiang kaishek
122,president,Dwight D. Eisenhower,meet prime minister chung address national assembly
123,president,Dwight D. Eisenhower,informal visit meet president lopez mateos
124,president,John F. Kennedy,state visit address joint session parliament
125,president,John F. Kennedy,state visit address north atlantic council meet president de gaulle
126,president,John F. Kennedy,meet president schaerf hold talk soviet premier khrushchev
127,president,John F. Kennedy,private visit meet queen elizabeth ii prime minister macmillan
128,president,John F. Kennedy,meet president betancourt
129,president,John F. Kennedy,meet president lleras camargo
130,president,John F. Kennedy,meet prime minister macmillan
131,president,John F. Kennedy,state visit meet president lopez mateos
132,president,John F. Kennedy,confer prime minister macmillan conclude nassau agreement nuclear defense systems
133,president,John F. Kennedy,attend conference presidents central american republics
134,president,John F. Kennedy,meet chancellor adenauer officials
135,president,John F. Kennedy,deliver several public address
136,president,John F. Kennedy,address parliament visit ancestral home
137,president,John F. Kennedy,informal visit prime minister macmillan home
138,president,John F. Kennedy,meet president segni italian nato officials
139,president,John F. Kennedy,audience pope paul vi
140,president,Lyndon B. Johnson,informal visit meet prime minister pearson ceremonies relate columbia river treaty
141,president,Lyndon B. Johnson,informal visit meet president gustavo diaz ordaz
142,president,Lyndon B. Johnson,lay cornerstone rooseveltcampobello international park confer informally prime minister pearson
143,president,Lyndon B. Johnson,state visit meet prime minister holyoake
144,president,Lyndon B. Johnson,state visit meet governor general casey prime minister holt
145,president,Lyndon B. Johnson,attend summit conference head state government australia korea new zealand philippines thailand vietnam
146,president,Lyndon B. Johnson,visit us military personnel
147,president,Lyndon B. Johnson,state visit meet king bhumibol adulyadej
148,president,Lyndon B. Johnson,state visit meet prime minister rahrman
149,president,Lyndon B. Johnson,state visit meet president park prime minister chung
150,president,Lyndon B. Johnson,informal meet president diaz ordaz inspect construction arnistad dam
151,president,Lyndon B. Johnson,summit meet latin american chiefs state
152,president,Lyndon B. Johnson,refuel stop en route uruguay
153,president,Lyndon B. Johnson,attend funeral chancellor adenauer converse various head state
154,president,Lyndon B. Johnson,attend expo confer informally prime minister pearson
155,president,Lyndon B. Johnson,attend transfer el chamizal us mexico confer president diaz ordaz
156,president,Lyndon B. Johnson,attend funeral prime minister holt confer attend head state
157,president,Lyndon B. Johnson,visit us military personnel
158,president,Lyndon B. Johnson,visit us military personnel
159,president,Lyndon B. Johnson,meet president ayub khan
160,president,Lyndon B. Johnson,meet president saragat prime minister moro
161,president,Lyndon B. Johnson,audience pope paul vi
162,president,Lyndon B. Johnson,attend meet presidents central american republics
163,president,Lyndon B. Johnson,informal visit meet president somoza
164,president,Lyndon B. Johnson,informal visit meet president trejos
165,president,Lyndon B. Johnson,informal visit meet president lopez arrelano
166,president,Lyndon B. Johnson,informal visit meet president mendez
167,president,Richard M. Nixon,attend meet north atlantic council meet king baudouin
168,president,Richard M. Nixon,informal visit hold conversations prime minister wilson receive queen elizabeth ii
169,president,Richard M. Nixon,address bundestag february
170,president,Richard M. Nixon,meet president saragat prime minister rumor officials
171,president,Richard M. Nixon,meet president de gaulle
172,president,Richard M. Nixon,audience pope paul vi
173,president,Richard M. Nixon,state visit meet president marcos
174,president,Richard M. Nixon,state visit meet president suharto
175,president,Richard M. Nixon,state visit meet king bhumibol adulyadej
176,president,Richard M. Nixon,meet president thieu visit us military personnel
177,president,Richard M. Nixon,state visit meet act president hidayatullah
178,president,Richard M. Nixon,state visit meet president yahya khan
179,president,Richard M. Nixon,official visit meet president ceausescu
180,president,Richard M. Nixon,informal meet prime minister wilson
181,president,Richard M. Nixon,dedicate aimistad dam
182,president,Richard M. Nixon,official visit meet president diaz ordaz
183,president,Richard M. Nixon,official visit meet president saragat visit nato southern command
184,president,Richard M. Nixon,audience pope paul vi
185,president,Richard M. Nixon,state visit meet president tito
186,president,Richard M. Nixon,state visit meet generalissimo franco
187,president,Richard M. Nixon,meet informally queen elizabeth ii prime minister heath
188,president,Richard M. Nixon,state visit meet prime minister lynch
189,president,Richard M. Nixon,attend memorial service former president de gaulle
190,president,Richard M. Nixon,discuss international monetary problems french president pompidou portuguese prime minister caetano
191,president,Richard M. Nixon,meet british prime minister heath
192,president,Richard M. Nixon,state visit meet chairman mao tsetung premier chou enlai
193,president,Richard M. Nixon,state visit meet governor general michener prime minister trudeau address parliament
194,president,Richard M. Nixon,informal visit meet chancellor kreisky
195,president,Richard M. Nixon,state visit meet premier kosygin general secretary brezhnev sign salt abm treaties
196,president,Richard M. Nixon,official visit meet shah mohammed reza pahlavi
197,president,Richard M. Nixon,official visit meet first secretary gierek
198,president,Richard M. Nixon,meet president eldjarn prime minister johanneson french president pompidou
199,president,Richard M. Nixon,attend memorial service former president pompidou meet afterward interim president poher italian prime minister leone british prime minister wilson west german chancellor brandt danish prime minister hartling soviet president podgorny japanese prime minister tanaka
200,president,Richard M. Nixon,meet chancellor kreisky
201,president,Richard M. Nixon,meet president sadat
202,president,Richard M. Nixon,meet king faisal
203,president,Richard M. Nixon,meet president assad
204,president,Richard M. Nixon,meet president katzir prime minister rabin
205,president,Richard M. Nixon,state visit meet king hussein
206,president,Richard M. Nixon,meet president spinola
207,president,Richard M. Nixon,attend north atlantic council meet meet separately king baudonin queen fabiola prime minister tindemans german chancellor schmidt british prime minister wilson italian prime minister rumor
208,president,Richard M. Nixon,official visit meet general secretary brezhnev president podgorny premier kosygin
209,president,Gerald R. Ford,meet president echeverria lay wreath tomb padre eusebio kino
210,president,Gerald R. Ford,state visit meet prime minister tanaka
211,president,Gerald R. Ford,meet president park
212,president,Gerald R. Ford,meet general secretary brezhnev discuss limitations strategic arm
213,president,Gerald R. Ford,meet president giscard destaing
214,president,Gerald R. Ford,attend nato summit meet address north atlantic council meet separately nato head state government
215,president,Gerald R. Ford,meet generalissimo franco receive key city mayor madrid
216,president,Gerald R. Ford,meet chancellor kreisky egyptian president sadat
217,president,Gerald R. Ford,meet president leone prime minister moro
218,president,Gerald R. Ford,audience pope paul vi
219,president,Gerald R. Ford,meet president scheel chancellor schmidt
220,president,Gerald R. Ford,official visit meet first secretary gierek
221,president,Gerald R. Ford,attend open session conference security cooperation europe meet head state government finland great britain turkey west germany france italy spain also meet soviet general secretary brezhnev sign final act conference august
222,president,Gerald R. Ford,official visit meet president ceausescu
223,president,Gerald R. Ford,official visit meet president tito prime minister bijedic
224,president,Gerald R. Ford,attend economic summit meet head state government france federal republic germany italy japan unite kingdom
225,president,Gerald R. Ford,official visit meet chairman mao tsetung vice premier teng hsiaoping
226,president,Gerald R. Ford,official visit meet president suharto
227,president,Gerald R. Ford,official visit meet president marcos
228,president,Jimmy Carter,attend economic summit meet may head state government canada france federal republic germany italy japan unite kingdom also meet prime minister greece belgium turkey norway netherlands luxembourg president portugal address nato minister meet may
229,president,Jimmy Carter,official visit meet president furgler also meet syrian president assad
230,president,Jimmy Carter,official visit meet first secretary gierek
231,president,Jimmy Carter,official visit meet shah mohammed reza pahlavi king hussein jordan
232,president,Jimmy Carter,meet president reddy prime minister desai address parliament
233,president,Jimmy Carter,meet king khalid crown prince fahd
234,president,Jimmy Carter,meet president sadat german chancellor schmidt
235,president,Jimmy Carter,meet president giscard destaing prime minister barre
236,president,Jimmy Carter,meet king baudouin prime minister tindemans attend meet commission european communities north atlantic council
237,president,Jimmy Carter,meet president perez address congress sign maritime boundary agreement
238,president,Jimmy Carter,official visit meet president geisel address brazilian congress
239,president,Jimmy Carter,meet president obasanjo first state visit us president subsaharan africa
240,president,Jimmy Carter,meet president tolbert
241,president,Jimmy Carter,invite president lakas general torrijos sign protocol confirm exchange document ratify panama canal treaties also meet informally presidents perez venezuela lopez michelson colombia lopez portillo mexico carazo costa rica prime minister manley jamaica
242,president,Jimmy Carter,state visit meet president scheel chancellor schmidt address us german military personnel
243,president,Jimmy Carter,speak airlift memorial
244,president,Jimmy Carter,attend economic summit meet head state government france federal republic germany canada italy japan unite kingdom
245,president,Jimmy Carter,meet informally president giscard destaing german chancellor schmidt british prime minister callaghan
246,president,Jimmy Carter,state visit meet president lopez portillo address mexican congress
247,president,Jimmy Carter,state visit meet president sadat address people assembly
248,president,Jimmy Carter,state visit meet president navon prime minister begin address knesset
249,president,Jimmy Carter,meet president sadat
250,president,Jimmy Carter,state visit meet president kirchschlaeger chancellor kreisky meet soviet general secretary brezhnev sign salt ii treaty june
251,president,Jimmy Carter,state visit meet emperor hirohito prime minister ohira attend economic summit meet june head state government canada france federal republic germany italy japan unite kingdom
252,president,Jimmy Carter,state visit meet president park prime minister choi
253,president,Jimmy Carter,state visit meet president pertini attend economic summit conference june head state government canada france federal republic germany italy japan unite kingdom
254,president,Jimmy Carter,audience pope john paul ii
255,president,Jimmy Carter,official visit meet president mijatovic
256,president,Jimmy Carter,official visit meet king juan carlos prime minister suarez
257,president,Jimmy Carter,official visit meet president eanes prime minister sa carneiro
258,president,Jimmy Carter,official visit attend memorial service former prime minister ohira meet emperor hirohito president ziaur rahman bangladesh prime minister fraser australia prime minister prem thailand premier hua guofeng china
259,president,Ronald Reagan,meet president lopez portillo visit make presidentelect
260,president,Ronald Reagan,state visit meet prime minister trudeau address parliament
261,president,Ronald Reagan,attend economic summit conference head state government canada france federal republic germany italy japan unite kingdom
262,president,Ronald Reagan,attend summit meet international cooperation development meet head state government algeria bangladesh canada china france guyana india japan mexico nigeria philippines saudi arabia sweden tanzania unite kingdom venezuela yugoslavia
263,president,Ronald Reagan,official visit meet prime minister seaga
264,president,Ronald Reagan,official visit meet april prime minister barbados antigua barbuda dominica st christopher nevis st vincent grenadines
265,president,Ronald Reagan,state visit meet president mitterrand prime minister mauroy
266,president,Ronald Reagan,attend economic summit meet head state government canada france federal republic germany italy japan unite kingdom
267,president,Ronald Reagan,state visit meet president pertini premier spadolini
268,president,Ronald Reagan,audience pope john paul ii
269,president,Ronald Reagan,state visit meet queen elizabeth ii prime minister thatcher address parliament
270,president,Ronald Reagan,state visit meet chancellor schmidt president carstens address bundestag attend meet north atlantic council
271,president,Ronald Reagan,meet chancellor schmidt
272,president,Ronald Reagan,exchange visit presidentelect de la madrid
273,president,Ronald Reagan,official work visit meet president figueiredo
274,president,Ronald Reagan,official work visit meet president betancur
275,president,Ronald Reagan,official work visit meet president monge president magana el salvador
276,president,Ronald Reagan,official work visit meet president suazo guatemalan president rios montt
277,president,Ronald Reagan,informal meet president de la madrid
278,president,Ronald Reagan,state visit meet emperor hirhito prime minister nakasone address diet
279,president,Ronald Reagan,state visit meet president chun address national assembly visit us troop
280,president,Ronald Reagan,state visit meet president li premier zhao
281,president,Ronald Reagan,meet president hillery prime minister fitzgerald visit ancestral home address parliament
282,president,Ronald Reagan,meet queen elizabeth ii prime minister thatcher attend economic summit meet june head state government canada france federal republic germany italy japan unite kingdom
283,president,Ronald Reagan,attend commemorative ceremonies anniversary ally land normandy also present prime minister trudeau canada queen beatrix netherlands king olav v norway king baudouin belgium president mitterrand france queen elizabeth ii unite kingdom grand duke jean luxembourg
284,president,Ronald Reagan,meet prime minister mulroney
285,president,Ronald Reagan,attend economic summit meet head state government canada france federal republic germany italy japan unite kingdom
286,president,Ronald Reagan,state visit attend ceremonies commemorate anniversary end world war ii europe
287,president,Ronald Reagan,state visit meet king juan carlos president gonzalez
288,president,Ronald Reagan,address european parliament
289,president,Ronald Reagan,state visit meet president eanes prime minister scar address national assembly
290,president,Ronald Reagan,attend summit meet november soviet general secretary gorbachev meet also swiss president furgler
291,president,Ronald Reagan,brief north atlantic council soviet summit present head state government belgium canada denmark federal republic germany italy netherlands norway luxembourg portugal turkey unite kingdom
292,president,Ronald Reagan,informal meet president de la madrid
293,president,Ronald Reagan,meet governor general scoon prime minister blaize prime minister dominica jamaica st lucia st christopher nevis st vincent grenadines antigua barbuda trinidad tobago barbados dedicate memorial us servicemen
294,president,Ronald Reagan,attend asean ministerial meet meet indonesian president soeharto philippine vice president laurel
295,president,Ronald Reagan,attend economic summit meet head state government canada france federal republic germany italy japan unite kingdom
296,president,Ronald Reagan,presummit meet october soviet general secretary gorbachev meet president finnbogadottir october
297,president,Ronald Reagan,official visit meet prime minister mulroney address parliament april
298,president,Ronald Reagan,attend economic summit meet june head state government canada france federal republic germany italy japan unite kingdom meet president cossiga prime minister fanfani rome june
299,president,Ronald Reagan,audience pope john paul ii
300,president,Ronald Reagan,attend anniversary celebrations meet chancellor kohl
301,president,Ronald Reagan,meet chancellor kohl
302,president,Ronald Reagan,informal meet president de la madrid sign textile agreement
303,president,Ronald Reagan,attend nato summit meet present head state government canada denmark france federal republic germany greece iceland italy luxembourg norway portugal spain turkey unite kingdom
304,president,Ronald Reagan,meet president koivisto prime minister holkeri rest en route ussoviet summit
305,president,Ronald Reagan,summit meet general secretary gorbachev exchange ratifications inf treaty
306,president,Ronald Reagan,meet queen elizabeth ii prime minister thatcher japanese prime minister takeshita
307,president,Ronald Reagan,attend economic summit meet head state government canada france federal republic germany italy japan unite kingdom
308,president,George H.W. Bush,work visit meet prime minister mulroney
309,president,George H.W. Bush,attend funeral emperor hirohito meet emperor akihito japan kings belgium jordan spain presidents brazil egypt france federal republic germany israel italy nigeria philippines portugal zaire prime minister japan pakistan singapore thailand turkey
310,president,George H.W. Bush,meet president yang prime minister li also meet prince sihanouk cambodia
311,president,George H.W. Bush,official visit address national assembly
312,president,George H.W. Bush,meet president cossiga prime minister de mita
313,president,George H.W. Bush,audience pope john paul ii
314,president,George H.W. Bush,attend nato summit meet present head state government canada denmark france federal republic germany greece iceland italy luxembourg norway portugal spain turkey unite kingdom
315,president,George H.W. Bush,meet chancellor kohl
316,president,George H.W. Bush,meet queen elizabeth ii prime minister thatcher
317,president,George H.W. Bush,meet government solidarity leaders address national assembly july
318,president,George H.W. Bush,meet hungarian officials deliver address karl marx university
319,president,George H.W. Bush,attend economic summit meet head state government canada france federal republic germany italy japan unite kingdom also attend ceremonies bicentennial french revolution meet ivorian president houphouetboigny
320,president,George H.W. Bush,meet queen beatrix prime minister lubbers deliver public address
321,president,George H.W. Bush,attend hemispheric summit meet
322,president,George H.W. Bush,attend summit meet december soviet chairman gorbachev meet also maltese prime minister fenech adami
323,president,George H.W. Bush,brief nato head state government ussoviet summit meet
324,president,George H.W. Bush,informal meet president mitterrand
325,president,George H.W. Bush,attend summit meet control illicit drug traffic presidents colombia bolivia peru
326,president,George H.W. Bush,informal meet prime minister mulroney
327,president,George H.W. Bush,informal meet prime minister thatcher
328,president,George H.W. Bush,attend nato summit meet
329,president,George H.W. Bush,summit meet soviet president gorbachev issue joint statement persian gulf crisis also meet president koivisto
330,president,George H.W. Bush,attend ceremonies commemorate first anniversary velvet revolution address federal assembly
331,president,George H.W. Bush,meet chancellor kohl
332,president,George H.W. Bush,attend csce summit meet sign treaty conventional arm force europe
333,president,George H.W. Bush,meet king fahd amir kuwait address us british military personnel eastern saudi arabia
334,president,George H.W. Bush,discuss persian gulf crisis president mubarak
335,president,George H.W. Bush,discuss persian gulf crisis syrian president assad
336,president,George H.W. Bush,state visit
337,president,George H.W. Bush,meet president collor de mello address joint session brazilian congress
338,president,George H.W. Bush,meet president lacalle address joint session uruguayan congress
339,president,George H.W. Bush,meet president menem address joint session argentinean congress
340,president,George H.W. Bush,meet president aylwin address joint session chilean congress
341,president,George H.W. Bush,meet president perez
342,president,George H.W. Bush,meet prime minister mulroney sign air quality agreement
343,president,George H.W. Bush,discuss middle east peace process president mitterrand
344,president,George H.W. Bush,discuss middle east peace process prime minister major
345,president,George H.W. Bush,informal meet prime minister mulroney
346,president,George H.W. Bush,discuss sanction iraq president mitterrand
347,president,George H.W. Bush,attend economic summit meet head state government canada france germany italy japan unite kingdom also meet soviet president gorbachev
348,president,George H.W. Bush,meet prime minister mitsotakis address us greek military personnel
349,president,George H.W. Bush,meet president ozal
350,president,George H.W. Bush,attend ussoviet summit meet sign strategic arm reduction treaty address ukrainian parliament
351,president,George H.W. Bush,meet prime minister gonzalez soviet president gorbachev attend open session middle east peace conference
352,president,George H.W. Bush,attend nato summit meet
353,president,George H.W. Bush,audience pope john paul ii
354,president,George H.W. Bush,attend european community summit meet
355,president,George H.W. Bush,meet prime minister keating senior australian officials address australian parliament
356,president,George H.W. Bush,meet president wee prime minister goh attend meet asean business council
357,president,George H.W. Bush,meet president roh senior korean officials sign science technology agreement address korean national assembly visit us military personnel
358,president,George H.W. Bush,meet emperor akihito prime minister miyazawa senior japanese officials
359,president,George H.W. Bush,meet president endara deliver public address
360,president,George H.W. Bush,attend earth summit meet
361,president,George H.W. Bush,meet president walesa attend memorial service former prime minister paderewski
362,president,George H.W. Bush,attend economic summit meet head state government canada france germany italy japan unite kingdom also meet russian president yeltsin
363,president,George H.W. Bush,attend csce summit meet
364,president,George H.W. Bush,meet king fahd
365,president,George H.W. Bush,visit international relief workers us military personnel
366,president,George H.W. Bush,sign start ii treaty
367,president,George H.W. Bush,discuss bosnian crisis president mitterrand
368,president,William J. Clinton,summit meet russian president yeltsin also meet prime minister mulroney
369,president,William J. Clinton,attend economic summit meet head state government canada france germany italy japan unite kingdom also meet russian president yeltsin
370,president,William J. Clinton,meet president kim address korean national assembly visit us military personnel
371,president,William J. Clinton,attend nato summit meet
372,president,William J. Clinton,meet presidents prime minister czech republic hungary poland slovakia
373,president,William J. Clinton,meet president kravchuk
374,president,William J. Clinton,meet president yeltsin senior russian officials sign nuclear disarmament agreement ukraine
375,president,William J. Clinton,meet chairman shushkevich
376,president,William J. Clinton,meet syrian president assad
377,president,William J. Clinton,meet prime minister berlusconi president scalfaro visit us military cemetery
378,president,William J. Clinton,audience pope john paul ii
379,president,William J. Clinton,visit us military cemetery meet prime minister major attend state dinner queen elizabeth ii head state government canada poland czech republic slovakia australia new zealand norway belgium attend dday commemorative ceremonies
380,president,William J. Clinton,attend dday memorial ceremonies meet president mitterrand senior french officials address french national assembly
381,president,William J. Clinton,receive honorary degree oxford university
382,president,William J. Clinton,meet presidents baltic state
383,president,William J. Clinton,address polish parliament attend ceremonies commemorate warsaw ghetto revolt
384,president,William J. Clinton,meet prime minister italy japan canada attend economic summit meet meet president yeltsin
385,president,William J. Clinton,meet chancellor kohl german political leaders deliver public address brandenburg gate attend deactivation ceremony berlin brigade
386,president,William J. Clinton,meet president mubarak plo chairman arafat
387,president,William J. Clinton,attend sign israeljordan peace agreement address jordanian parliament
388,president,William J. Clinton,meet president assad
389,president,William J. Clinton,meet senior israeli officials address knesset
390,president,William J. Clinton,meet amir kuwait address us military personnel
391,president,William J. Clinton,meet king fahd
392,president,William J. Clinton,state visit
393,president,William J. Clinton,attend apec summit meet follow state visit
394,president,William J. Clinton,attend csce summit meet
395,president,William J. Clinton,state visit
396,president,William J. Clinton,attend transition ceremony unite nations mission haiti
397,president,William J. Clinton,summit meet attend day ceremonies
398,president,William J. Clinton,state visit
399,president,William J. Clinton,attend economic summit meet head state government canada france germany italy japan unite kingdom also meet russian president yeltsin
400,president,William J. Clinton,attend funeral prime minister rabin
401,president,William J. Clinton,meet queen elizabeth prime minister major address parliament deliver several public address northern ireland
402,president,William J. Clinton,meet president robinson prime minister bruton
403,president,William J. Clinton,address us military personnel meet chancellor kohl
404,president,William J. Clinton,attend european union summit meet
405,president,William J. Clinton,attend sign bosnian peace treaty
406,president,William J. Clinton,meet us military personnel
407,president,William J. Clinton,meet us military personnel
408,president,William J. Clinton,meet president izetbegovic address us military personnel
409,president,William J. Clinton,meet president tudjman
410,president,William J. Clinton,attend summit peacemakers
411,president,William J. Clinton,discuss cooperation terrorism senior israeli officials
412,president,William J. Clinton,meet president kim propose fournation peace talk
413,president,William J. Clinton,state visit issue joint statement usjapanese security relations address diet us navy personnel
414,president,William J. Clinton,attend summit nuclear safety hold summit meet president yeltsin
415,president,William J. Clinton,attend economic summit meet meet russian prime minister chernomyrdin un secretarygeneral boutrousghali
416,president,William J. Clinton,state visit address joint meet parliament visit great barrier reef
417,president,William J. Clinton,attend apec summit meet
418,president,William J. Clinton,state visit
419,president,William J. Clinton,summit meet russian president yeltsin also meet president ahtisaari
420,president,William J. Clinton,state visit
421,president,William J. Clinton,attend summit meet presidents central american republics
422,president,William J. Clinton,attend uscaribbean community summit meet
423,president,William J. Clinton,attend sign natorussia found act
424,president,William J. Clinton,attend useu summit meet commemorate anniversary marshall plan
425,president,William J. Clinton,meet prime minister blair attend cabinet meet
426,president,William J. Clinton,vacation king juan carlos queen sophia attend nato summit meet madrid
427,president,William J. Clinton,meet president kwasniewski former president walesa
